,Name,Categories,Distance,Latitude,Longitude,Id,Neighborhood,Likes,Tips,Rating
73,Virgin Active Health Club,Gym,361,-33.90633773128665,18.402970923638318,4b4c2b05f964a52025af26e3,Green Point,103,26,8.1
74,Cape Town Stadium,Stadium,467,-33.904078101012956,18.411027109916294,4c049d8d302295213dc9de81,Green Point,199,41,8.4
75,Mouille Point Promenade,Pedestrian Plaza,561,-33.899558054838174,18.403773307800293,4e1db702922e8d173063b3c3,Green Point,49,6,8.6
76,Green Point Lighthouse,Lighthouse,641,-33.90140139307377,18.399943113327023,4c2da6ffe307d13ac02f0eda,Green Point,50,9,8.7
77,Oranjezicht Farmers Market,Farmers Market,870,-33.902330556314176,18.415097942270673,557c0711498edbe4da8f6b7a,Green Point,64,12,8.5
78,Cape Point Lighthouse,Lighthouse,825,-33.9090503289127,18.412788856138288,5475e1cc498e6bd4fc31f250,Green Point,9,0,8.2
79,Woolworths Food,Grocery Store,857,-33.909166676233184,18.41311755211298,4c0a20216071a593b00edf32,Green Point,37,14,7.9
80,Sea Point Promenade Park,Playground,930,-33.90657596779252,18.396296022745315,4c3490563ffc95210de790f5,Green Point,14,4,8.1
81,Metropolitan Golf Club,Golf Course,470,-33.90079437387031,18.408888909672847,4e242109d164740632208f85,Green Point,8,2,7.2
82,Casa Blanca Night Club,Nightclub,880,-33.90785128623892,18.414458531192704,4efa38e777c8e88f4a2fb5a8,Green Point,7,0,7.5
83,Mano's,Gastropub,879,-33.909412097053725,18.41318766918164,4b62dec0f964a52087562ae3,Green Point,25,25,7.4
84,Clicks,Pharmacy,924,-33.90833084448987,18.397243208999466,4c8cf460f0ce236a877d1cef,Green Point,11,2,7.3
85,Jade,Nightclub,880,-33.909467050957275,18.413132165910124,4bca16c4511f95211e00afc7,Green Point,15,5,7.1
86,Woolworths,Grocery Store,999,-33.90885503580368,18.396678489796905,4c8cc62dc37a6dcb9912fa7a,Green Point,5,3,7.1
87,Newport Deli,Sandwich Place,572,-33.90190553604957,18.400456244311137,4ba60cb1f964a520353039e3,Green Point,9,7,6.5
88,Putt Putt,Golf Course,725,-33.90471813929748,18.39813127555431,4badfe34f964a520d1783be3,Green Point,5,6,6.1
89,Green Point Cricket Club,Athletics & Sports,156,-33.90445171969265,18.407642728229987,51c1c45d498e1c8d7fa9d4f4,Green Point,1,0,No Rating Yet
90,Parkrun Greenpoint,Athletics & Sports,294,-33.90682623948012,18.406750277013906,52c7a17611d24f384e8bceda,Green Point,2,0,No Rating Yet
91,Green Point Adventure Play Park,Park,382,-33.9049,18.4019,55c5da2b498e17a6c59bd016,Green Point,4,1,No Rating Yet
92,5s futbol,Soccer Field,400,-33.900847999999996,18.407366,4d8371155ad3a0936e95bafd,Green Point,0,0,No Rating Yet
93,Yemaya Spa and Hair,Spa,477,-33.90083285380021,18.40285017674286,4bdaf0baa8d976b0ee920cb5,Green Point,3,4,No Rating Yet
94,ZAR,Nightclub,760,-33.90873356475382,18.41219281698066,4d699c05de28224bb48545be,Green Point,2,10,5.6
95,Groot Constantia,Vineyard,820,-34.027178501437014,18.42433830632882,4ba721b1f964a5204b8239e3,Constantia,212,45,8.6
96,Constantia Uitsig Wine Farm,Winery,778,-34.027325091779645,18.423910088816413,4cc95701bfe1f04d13280d75,Constantia,5,3,7.9
97,The Ice Station,Skate Shop,541,-33.99642,18.70148,5d14b82d12f1720023593a93,Blue Downs,0,0,No Rating Yet
