,postalCode,name,distance,categories,lat,lng,id,City,Neighborhood
75,,Bunker Bar & Restaurant,9007,Bar,-33.84267461097129,18.552899779345044,4c94e032f7cfa1cdd3c0b715,Cape Town,Bellville
76,,Ashley's,8430,Diner,-33.91162392300551,18.552042018294113,4bf90e4c5ec320a1aea789d3,Cape Town,Bellville
77,,Cape Gate Spar,6381,Supermarket,-33.85084756588376,18.693422068737316,4cebd46ff8653704e8fcc4c4,Cape Town,Bellville
78,7550,Silver Creek Spur,5768,Breakfast Spot,-33.83266883428387,18.6474581940829,4c45cc57f799e21eaab0afa2,Cape Town,Bellville
79,,Soet,6010,Café,-33.83061660787478,18.648525552691485,4f87eaa7e4b05ae887639584,Cape Town,Bellville
80,7550,Durbanville Golf Course,5817,Golf Course,-33.83495857600362,18.659472011023176,4b8d6233f964a5207cf832e3,Cape Town,Bellville
81,7560,Capegate Shopping Centre,6454,Shopping Mall,-33.85126197,18.69472219,4dae8c71cda1ea0bb0406103,Cape Town,Bellville
82,7551,Tables At Nitida,6772,Tea Room,-33.83500462160035,18.593007589549188,4d7cc665da568cfab63c6cff,Cape Town,Bellville
83,,"Glenwood Spar, Goodwood",9310,Convenience Store,-33.89672242189908,18.537333067165854,4b5c86adf964a520713429e3,Cape Town,Bellville
84,7538,Tygerberg Nature Reserve,3603,Other Great Outdoors,-33.87621300146079,18.598946713553726,4d0def263bbaa1431efa3fda,Cape Town,Bellville
85,,Woolworths Food,6289,Grocery Store,-33.86590089943587,18.57229471818825,4da9ae7c93a04642f06c0c91,Cape Town,Bellville
86,7463,Cafe Fino,7094,Restaurant,-33.89165199025316,18.56068865282671,4c552bab728920a15cbef083,Cape Town,Bellville
87,,Schoongezicht Restaurant,7236,Restaurant,-33.89551347506501,18.713881203158177,4d7bd13bda568cfa320959ff,Cape Town,Bellville
88,7500,Plattekloof Village,6320,Shopping Mall,-33.86550518109846,18.57210157785989,4bf844d7c07c9c74cccfbbef,Cape Town,Bellville
89,,Checkers,5781,Convenience Store,-33.843976964481364,18.677121952643528,4c9164ccb641236abe4d8179,Cape Town,Bellville
90,,Slug And Lettuce,5722,Steakhouse,-33.83292198978405,18.646268665951144,5256f5a211d2857ca3662556,Cape Town,Bellville
91,7460,Panarottis N1 City,7169,Italian Restaurant,-33.8919174626587,18.559914662670213,4cc1b6171da0a1cd89db9bc6,Cape Town,Bellville
92,7500,Ster Kinekor,4335,Multiplex,-33.906656928348724,18.598932217809185,4d92029656a3f04d580ef041,Cape Town,Bellville
93,,Klein Roosboom,9290,Vineyard,-33.818472283924294,18.574234326409268,4e4100741f6e54050be48b20,Cape Town,Bellville
94,,Woolworths,4146,Grocery Store,-33.904508995805536,18.59962447111579,4d529efb9d493704d45dda39,Cape Town,Bellville
95,,knead,5704,Coffee Shop,-33.87616,18.575821,572c477f498e0122ce87b8bc,Cape Town,Bellville
96,,Checkers,9770,Supermarket,-33.84103854760453,18.544521013495704,4d404c9faae1b1f7d89f85f5,Cape Town,Bellville
97,7550,Virgin Active Health Club,5887,Gym,-33.831549399923496,18.64723235867574,4d13181affa1224b3ff59dad,Cape Town,Bellville
98,,Parow Golf Club,6036,Golf Course,-33.896177373299714,18.573283958702145,4d26b83d342d6dcb5678e6ca,Cape Town,Bellville
99,7475,"City Lodge Hotel GrandWest, Cape Town",9135,Hotel,-33.91952133800158,18.547896915826016,4bc8eeeb762beee17bb73d38,Cape Town,Bellville
0,8000,The Gin Bar,371,Cocktail Bar,-33.92273288691907,18.417150034224644,54d63408498e31d1e8e09e57,Cape Town,City Bowl
1,8001,Fugard Theatre,499,Theater,-33.92717880771957,18.424410697680713,4bcede8d29d4b7132923a9dc,Cape Town,City Bowl
2,8005,Truth Coffee HQ,536,Café,-33.92828568736539,18.4227945872331,4fa0c477e4b0c33ec64258bf,Cape Town,City Bowl
3,8001,City Hall,305,City Hall,-33.92518468373031,18.423782589572202,4b6b08e2f964a5202aee2be3,Cape Town,City Bowl
4,,The Book Lounge,626,Bookstore,-33.92930614229909,18.42168843738291,4b9e4a4cf964a5209dd736e3,Cape Town,City Bowl
5,8001,Skinny laMinx,653,Furniture / Home Store,-33.924987260907464,18.4140944480896,502c9a5d067d5b50e0ba9eb8,Cape Town,City Bowl
6,8001,Aces 'n Spades,273,Bar,-33.92138527642458,18.42000551633646,502e9348e4b047efecff0430,Cape Town,City Bowl
7,8000,Jason Bakery,611,Bakery,-33.92453842563379,18.414449223651683,4d9580ed454edcb39969b76a,Cape Town,City Bowl
8,8000,Yourstruly,370,Coffee Shop,-33.92431943340237,18.417055746248256,4cd50dac8e5b6a317f1b74ac,Cape Town,City Bowl
9,,New York Bagel,573,Bagel Shop,-33.92812216330304,18.42418736238842,54350aca498e511cba960528,Cape Town,City Bowl
10,8000,Artscape Theatre,896,Theater,-33.919537048903365,18.429297381456607,4b5342ebf964a520b69427e3,Cape Town,City Bowl
11,8001,Kloof Street House,960,African Restaurant,-33.92830450158452,18.412193932450084,54a88b5c498e72e47a96233f,Cape Town,City Bowl
12,8001,The Labia Theatre,1060,Movie Theater,-33.93005356692247,18.412439146653224,4b5f1604f964a52054a529e3,Cape Town,City Bowl
13,,Virgin Active Foreshore,1107,Gym / Fitness Center,-33.91784923671407,18.430691895051158,5766b8aecd100453bf08c5ab,Cape Town,City Bowl
14,8001,Unframed Ice Cream,995,Ice Cream Shop,-33.928688015760294,18.41204556956696,57a20081498ee7342127f5a5,Cape Town,City Bowl
15,8005,Pigalle,1237,Seafood Restaurant,-33.913161220900925,18.4167439564029,4bc0aaf8abf495217098bf93,Cape Town,City Bowl
16,8001,Deluxe Coffeeworks,1094,Coffee Shop,-33.933453,18.419453,50123ab3e4b0f8ec77991df4,Cape Town,City Bowl
17,,360 Specialized Training,1876,Gym,-33.93063297914655,18.439516160921674,4d6d2f3bfbf0a093ec91fc8c,Cape Town,City Bowl
18,,Signal Hill,1836,Hill,-33.91790703224613,18.402374981837013,4b5c6f27f964a520a72f29e3,Cape Town,City Bowl
19,8000,The Deli Woodstock,1691,Breakfast Spot,-33.92773321883452,18.43864551481081,4c383fdfdfb0e21ef447aea8,Cape Town,City Bowl
20,8001,De Waal Park,1639,Park,-33.93666648137161,18.41257095336914,4b796650f964a52095f72ee3,Cape Town,City Bowl
21,8001,The Silo Hotel,1697,Hotel,-33.90851199761666,18.42262145365408,582334fb03399c2dc117d903,Cape Town,City Bowl
22,8001,One&Only Cape Town,1725,Resort,-33.908668541891046,18.416461381779996,4b700ea8f964a52041052de3,Cape Town,City Bowl
23,,Watershed,1865,Market,-33.907116168436936,18.41816228150922,54429072498e71ae5f3585e7,Cape Town,City Bowl
24,,Queen Victoria Hotel,1936,Hotel,-33.906414832225394,18.41869917650755,4db467ca6a23c31a0316b57b,Cape Town,City Bowl
25,,Nourishd Juice Bar,2072,Juice Bar,-33.93663,18.40484,589a33bbef787f24a01580ba,Cape Town,City Bowl
26,,Giovanni's Deliworld,2051,Bakery,-33.90782184808231,18.409727517755517,4b51863af964a520ed4e27e3,Cape Town,City Bowl
27,8001,The Kitchen,1628,Deli / Bodega,-33.927670975915085,18.43796609977646,4b694555f964a520549d2be3,Cape Town,City Bowl
28,,Cooked,1863,Coffee Shop,-33.907122797849084,18.41820533520213,566da475498ed2e93de35c6c,Cape Town,City Bowl
29,8000,Victoria Wharf,2236,Shopping Mall,-33.90361868916433,18.42057466506958,518d2e42498e2a0a96297fb0,Cape Town,City Bowl
30,7915,Rosetta Roastery,2324,Coffee Shop,-33.92670585996497,18.445895047082622,4c77b3f16981bfb7de7a66e6,Cape Town,City Bowl
31,8001,V&A Waterfront,2126,Waterfront,-33.90462006045022,18.42003876929211,4b43b4bff964a52014e725e3,Cape Town,City Bowl
32,8051,Jason Bakery,1967,Bakery,-33.90814555679022,18.410891348801574,5a2cf00b35f9833b4ce7d183,Cape Town,City Bowl
33,8005,Spar,966,Supermarket,-33.91537412,18.41805674,4bf7e2078d30d13a70a4ff17,Cape Town,City Bowl
34,,"Food Lovers, The Towers",780,Food Court,-33.91945851147964,18.427718198510565,565c25fa498e1d3da85ed493,Cape Town,City Bowl
35,,Cape Town Waterfront,2353,Waterfront,-33.90256792953086,18.4216046333313,53b95629498e28001d79d8de,Cape Town,City Bowl
36,8002,Nespresso Boutique,2194,Coffee Shop,-33.90400574458095,18.4199671423334,4c3df4c5b8b4be9aab74cbef,Cape Town,City Bowl
37,,The Table Bay Hotel - Lounge,2291,Hotel,-33.903146643778044,18.42228120940016,4d1dffece56f6ea8359d601d,Cape Town,City Bowl
38,,Willoughby & Co,2333,Seafood Restaurant,-33.90274474798387,18.421349961573604,4b4dd523f964a520e4d826e3,Cape Town,City Bowl
39,8051,Green Point Urban Park,2662,Park,-33.90555738278987,18.40221851536896,4d9dc1d6c593a1cdef2b6719,Cape Town,City Bowl
40,,Glen Boutique Hotel,2815,Hotel,-33.916673287075184,18.39171484272647,4ba4bb57f964a52005b038e3,Cape Town,City Bowl
41,,Stardust,1323,Theater,-33.92752625703309,18.434563877424985,529e12d8498e188cc3d3ddea,Cape Town,City Bowl
42,,Lions Head Trail,2822,Trail,-33.93685957443096,18.39487494765333,4bb215f7f964a520a2b73ce3,Cape Town,City Bowl
43,7925,Table Mountain National Park,3186,National Park,-33.948035557863165,18.402806064323944,4efc3aeb823142b925eb319d,Cape Town,City Bowl
44,8001,Coco Safar,2858,Café,-33.910444433451154,18.39448981377906,5a5f2e9bdd70c55eccf59824,Cape Town,City Bowl
45,8005,Sea Point Beach Promenade,3225,Trail,-33.91029694340421,18.390040397644043,4b7657bff964a520ef482ee3,Cape Town,City Bowl
46,,"Seattle Coffee, The Towers",779,Coffee Shop,-33.919565151029474,18.42779236125447,565d37ef498e7ec1b1844dd8,Cape Town,City Bowl
47,7925,Espresso Lab Microroasters,3351,Coffee Shop,-33.92737067543962,18.457009014445408,4ba9e287f964a520183c3ae3,Cape Town,City Bowl
48,8005,Hotel 303,2898,Hotel,-33.912144,18.392876,4d0397fadc45a0932703e5c6,Cape Town,City Bowl
49,8001,Lions Head Peak,3200,Mountain,-33.93501147657133,18.389137585455497,4bfaa0d0508c0f47f5414031,Cape Town,City Bowl
50,8005,La Mouette,3541,French Restaurant,-33.92118767834148,18.382778418449398,4c829880dc018cfa83f3d06c,Cape Town,City Bowl
51,7925,The Pot Luck Club & Gallery,3391,Tapas Restaurant,-33.927463,18.457429,4efe0f19e5faf2869a1156c1,Cape Town,City Bowl
52,,The Test Kitchen,3348,Restaurant,-33.927422678167645,18.45696173744514,4cf68fc8e308236ab6e3e6ac,Cape Town,City Bowl
53,7925,The Old Biscuit Mill,3390,Market,-33.92749713628417,18.457415051797437,4b5a3b1bf964a52013b628e3,Cape Town,City Bowl
54,,The Sidewalk Cafe,1812,Café,-33.93893301476184,18.42794219488249,4b7a67aef964a520f62b2fe3,Cape Town,City Bowl
55,,Salisburys,3057,Deli / Bodega,-33.933360708670065,18.451980701512788,4ff0360ce4b0cf66726cb6cb,Cape Town,City Bowl
56,,Woodstock Foundry,2729,Event Space,-33.92699097754226,18.450274887434205,4fd5dcade4b02bbdc692ed95,Cape Town,City Bowl
57,7925,Woodstock Brewery,3053,Brewery,-33.92729377150171,18.453770970512487,57906662498ed25e200c17fd,Cape Town,City Bowl
58,8000,Top of Table Mountain,4112,Scenic Lookout,-33.957513188002125,18.403037310564745,4bb0fba2f964a5204f703ce3,Cape Town,City Bowl
59,8001,Tribe Coffee,2766,Coffee Shop,-33.92727272520289,18.450634898426785,51695769e4b04fc89096589a,Cape Town,City Bowl
60,,Bantry Bay,3969,Scenic Lookout,-33.92732157912339,18.378245227753318,4c20ca233573c9b608e03515,Cape Town,City Bowl
61,8005,Clifton 1st Beach,4228,Beach,-33.93600136524832,18.37767735320228,4b7824b2f964a5200cb82ee3,Cape Town,City Bowl
62,8005,Clifton 2nd Beach,4315,Beach,-33.93767444013776,18.37740472150441,4c8b7bb56418a143a968e9ce,Cape Town,City Bowl
63,,Neighbourgoods Market,3427,Flea Market,-33.9274569558459,18.457826180599668,4e550332636510eb2e0e0683,Cape Town,City Bowl
64,7925,Saucisse Deli,3349,Deli / Bodega,-33.927383554093446,18.456980966220513,4eae7baa9911d5c951b3cc06,Cape Town,City Bowl
65,,Ocean Jewels,2336,Seafood Restaurant,-33.92697200076062,18.44598148752877,515eb609e4b08388f73c92c7,Cape Town,City Bowl
66,8005,POD Camps Bay,4757,Hotel,-33.94924463089983,18.379686428828617,4c3d7d73b169c9b6211a4768,Cape Town,City Bowl
67,,Glen Beach,4738,Beach,-33.946878157719674,18.377955495720176,4c68ef393bad2d7fd3a1aeee,Cape Town,City Bowl
68,8040,Camps Bay Beach,4992,Beach,-33.950604673489345,18.377745151519775,4c3073957cc0c9b6ae58ed9a,Cape Town,City Bowl
69,8005,Maiden's Cove,4764,Scenic Lookout,-33.945097685595805,18.376314317221297,4e184285183880768f3eb656,Cape Town,City Bowl
70,8005,Atlanticview Cape Town Boutique Hotel,5202,Hotel,-33.96012690220119,18.385684490203857,54d88f1b498eab400b766771,Cape Town,City Bowl
71,,Devil's Peak Brewing Company (The Taproom),3811,Brewery,-33.93408429796424,18.460315591431804,51ebca525019fb668b6311d9,Cape Town,City Bowl
72,8040,Vide E Caffe,4975,Coffee Shop,-33.95100649878029,18.37834274334316,4c6f96eadf6b8cfa3bb2b54d,Cape Town,City Bowl
73,,Raw and Roxy,3243,Vegetarian / Vegan Restaurant,-33.92742942619817,18.455821159554247,53be7f1a498ecfab3dd716f6,Cape Town,City Bowl
74,,"Casa Woodstock, Casa Nostra Bar",3327,Bar,-33.92769135434862,18.456694050665305,4e16dafa8130977157798115,Cape Town,City Bowl
75,,Newlands Forest,5887,Forest,-33.970869424576335,18.449845578052983,4bc1a989461576b04d387c32,Cape Town,City Bowl
76,,Checkers,3496,Grocery Store,-33.92098842095797,18.383280408241074,4bfd2bf9f61dc9b648959ede,Cape Town,City Bowl
77,7925,1890 House Sushi,4791,Sushi Restaurant,-33.93920394799666,18.46938616433879,4b50cf03f964a520563327e3,Cape Town,City Bowl
78,,Spar,1844,Grocery Store,-33.939172045822914,18.428155074247798,4bdc39bf3904a5938a3f4d9e,Cape Town,City Bowl
79,,Gardener's Cottage,6147,Café,-33.97009824275582,18.45709964654482,4ba4d504f964a52020b938e3,Cape Town,City Bowl
80,,Beta Beach,5876,Beach,-33.9601060976156,18.374905067108077,4d04d6677d9ba35d5e226823,Cape Town,City Bowl
81,,Rhodes Memorial,4759,Monument / Landmark,-33.95250203886461,18.459084299518164,4b976addf964a520ef0235e3,Cape Town,City Bowl
82,7700,Vineyard Hotel & Spa,7059,Hotel,-33.97889774917507,18.45864753172221,4b58b75ff964a520296728e3,Cape Town,City Bowl
83,7700,Kirstenbosch Botanical Gardens,7304,Botanical Garden,-33.98845,18.433832,4b5acf4df964a520a7d528e3,Cape Town,City Bowl
84,7700,Baxter Theatre Centre,5872,Theater,-33.95685529195213,18.470461381924636,4b606099f964a5208fe229e3,Cape Town,City Bowl
85,7700,Newlands Rugby Stadium,6815,Stadium,-33.970645947055424,18.468375432867685,4b8003f6f964a520e04a30e3,Cape Town,City Bowl
86,,The Hussar Grill,6049,Steakhouse,-33.95913577409004,18.470667502960097,4baa6dbff964a52040693ae3,Cape Town,City Bowl
87,7700,PPC Newlands Cricket Ground,7103,Cricket Ground,-33.97364000769796,18.468891292223844,4b76e43ff964a520c0672ee3,Cape Town,City Bowl
88,7700,Sports Science Institute of South Africa,6877,Athletics & Sports,-33.9718160897948,18.467723838115923,4b9773b7f964a520460435e3,Cape Town,City Bowl
89,,Fraiche Ayres,5917,Restaurant,-33.951087111351285,18.475908998902728,4d3ead046b3d236ab37d7464,Cape Town,City Bowl
