,Name,Distance,Categories,Latitude,Longitude,Id,Neighborhood,Likes,Categories_Rest
77,Kauai : Point Virgin Active,627,Juice Bar,-33.906501436941326,18.403065593323273,4d91ed829acaa143879ef2f0,Atlantic Seaboard,3,Restaurant
2,Tomahawk Spur,732,Steakhouse,-33.91250095793893,18.545507736215992,4d8b8e627139b1f74eb3e2d4,Goodwood,1,Restaurant
6,Debonairs  Pizza,638,Pizza Place,-33.912401308406984,18.549417930413483,4ddd415322713339cd28b719,Goodwood,2,Restaurant
8,Simply Asia,746,Thai Restaurant,-33.91263981265898,18.54548454646108,4de8ae1d1f6e9b5377122333,Goodwood,0,Restaurant
2,Greenfields Pub,609,Pub,-33.88117592304591,18.70619773864746,4ce1bf353644a09300bf5e9f,Brackenfell,0,Restaurant
0,The Lighthouse Cafe,175,Café,-34.193163993654586,18.43135689901424,514d8bffe4b091940a1725ea,Simons Town,57,Restaurant
1,Monocle & Mermaid,21,Café,-34.193270586211405,18.433466871660144,545e3eca498e7ab0f02e0435,Simons Town,18,Restaurant
2,The Sweetest Thing,249,Café,-34.19317047351982,18.430551826674225,4bbb4de63db7b713a626249a,Simons Town,9,Restaurant
3,Saveur Restaurant,85,Seafood Restaurant,-34.19291152621334,18.432391332695282,54ad0e2b498ed6d6c86153cc,Simons Town,23,Restaurant
4,The Meeting Place,116,Café,-34.19325413010905,18.43200765819856,4baf22c5f964a52011ed3be3,Simons Town,11,Restaurant
6,The 2'6 Pence,201,Pub,-34.193157182109694,18.431073556333466,4d190352816af04d793e5ac2,Simons Town,5,Restaurant
7,Salty Sea Dog,83,Seafood Restaurant,-34.19290297025501,18.432423161256683,4c5ff05190b2c9b6d2883b22,Simons Town,24,Restaurant
9,Cafe Pescado,40,Italian Restaurant,-34.1934707511544,18.432994118030347,4ba3b8d7f964a5204b5838e3,Simons Town,10,Restaurant
10,Quarterdeck Restaurant,40,Café,-34.19293419990403,18.433595773445433,4c4c26e2f7cc1b8dc692e540,Simons Town,10,Restaurant
11,The HarbourView Coffee Shop,87,Coffee Shop,-34.19302131399117,18.432333091972755,4d19e19d85fc6dcb50dec04e,Simons Town,9,Restaurant
13,Fran’s Place,37,Restaurant,-34.192941,18.43355,5b1148efc876c80039b244cb,Simons Town,4,Restaurant
1,Hout Bay Coffee,309,Coffee Shop,-34.04295135647409,18.358995973031814,54bcf32a498e5ac87c42eb86,Hout Bay,15,Restaurant
2,Cheyne's,427,Mediterranean Restaurant,-34.04446461706228,18.359975213155252,517fff56e4b085cc8e56e30b,Hout Bay,19,Restaurant
6,Dunes,374,Seafood Restaurant,-34.045606579953535,18.358335754108964,4b9ba93df964a520c31736e3,Hout Bay,70,Restaurant
7,Hout Bay Manor,469,Hotel Bar,-34.043131309400664,18.36073427108847,4b9cc27cf964a520337a36e3,Hout Bay,4,Restaurant
8,Posticino Ristorante Hout Bay,696,Italian Restaurant,-34.0466336096008,18.361875758350227,52a8c1ef11d25bb03486a1f8,Hout Bay,8,Restaurant
9,Dario's,454,Italian Restaurant,-34.04351904415244,18.35073936915457,4b63e77ef964a52075962ae3,Hout Bay,13,Restaurant
10,Pakalolo,701,Restaurant,-34.046470126431586,18.362060332083125,4b9246aaf964a52086ef33e3,Hout Bay,13,Restaurant
11,Casareccio,616,Italian Restaurant,-34.04585538508249,18.361440740525723,4b633d3ef964a520cb6c2ae3,Hout Bay,12,Restaurant
12,The Wharfside Grill,819,Seafood Restaurant,-34.0474072683435,18.348444593821945,4d0cbcaa8010548114331a96,Hout Bay,23,Restaurant
13,Trattoria Luigi,334,Italian Restaurant,-34.043694,18.359197,4b8e98caf964a520e92a33e3,Hout Bay,1,Restaurant
15,Ragafellows,334,Steakhouse,-34.043785395112096,18.35916980243097,52b33531498eaff70f1be607,Hout Bay,3,Restaurant
16,Deli Delish,507,Deli / Bodega,-34.04559709869473,18.360247630701114,4b66cf2ff964a520ac2b2be3,Hout Bay,4,Restaurant
20,Ocean basket,559,Seafood Restaurant,-34.04430814665536,18.349759967224983,4d0a4c7c5edd5481e7e3049b,Hout Bay,0,Restaurant
22,Ocean Basket,577,Seafood Restaurant,-34.04532731806308,18.361290528348402,4c696d0e0e98a59303632459,Hout Bay,0,Restaurant
23,Bugatti's Trattoria,554,Pizza Place,-34.04078137019706,18.350322000452415,50afa5aee4b00a661c335a62,Hout Bay,7,Restaurant
24,Ta-Da Creperie & Coffee Bar,513,Coffee Shop,-34.04185813915021,18.35028144132193,5076767fe4b0d316330e9649,Hout Bay,6,Restaurant
26,W Café,173,Café,-34.04290189430646,18.357506838202205,500c0a9ae4b098bae33d1366,Hout Bay,0,Restaurant
27,Seafood Bistro,827,Seafood Restaurant,-34.047415,18.348345,4d87363d02eb5481ec9765f5,Hout Bay,3,Restaurant
28,Woodcutters Arms,332,Pub,-34.043229486420074,18.359246557684504,51a0f365498ee67d837d21c5,Hout Bay,5,Restaurant
30,La Cabane,444,Restaurant,-34.045,18.359878,4da170677ccc816e54fa527b,Hout Bay,0,Restaurant
31,The Workshop,539,Pub,-34.044895,18.361079,4b641deaf964a520d39f2ae3,Hout Bay,1,Restaurant
32,The Vine,576,Coffee Shop,-34.045528,18.361156,5abe3b0a8c812a75b8ec79ac,Hout Bay,2,Restaurant
33,Vida E Caffè,647,Coffee Shop,-34.04683046218402,18.361017003883646,4ed87e12d3e346be320033ad,Hout Bay,4,Restaurant
36,Muriel's munchies,904,Seafood Restaurant,-34.04808754786446,18.347905843684472,4de8e558227148fcea3a6010,Hout Bay,3,Restaurant
7,Big Route Gourmet Pizzeria,500,Pizza Place,-33.90777064392352,18.409355365419817,500ec06be4b0bfdb6d36afd4,Green Point,50,Restaurant
8,Rocomamas,489,Burger Joint,-33.90775618003158,18.40918560395864,4bae48b1f964a5201d9d3be3,Green Point,49,Restaurant
9,Cabrito,647,Bar,-33.90831531811706,18.410981944139607,520bc1a011d235a4fadfa1ac,Green Point,31,Restaurant
10,The Hussar Grill,666,Steakhouse,-33.9040106465762,18.398758440541393,5676faab498e7758023b13ef,Green Point,63,Restaurant
11,El Burro,653,Mexican Restaurant,-33.90839898887066,18.41097445637066,4d0a3452454c6dcbd26e3d8e,Green Point,144,Restaurant
12,UpperBloem,698,Restaurant,-33.908406,18.411643,5b11ac0467f62b002c41022c,Green Point,6,Restaurant
15,Grand Cafe and Beach,569,Café,-33.90553,18.41194,4be254e22fc7d13a6d5e083a,Green Point,186,Restaurant
16,nü,838,Juice Bar,-33.90901010449515,18.41301459647644,5412b432498eac1f78dbfcaf,Green Point,25,Restaurant
23,Sotano,606,Mediterranean Restaurant,-33.89988327026367,18.40989112854004,4cdec33ddf986ea8d1cddd16,Green Point,72,Restaurant
28,Wafu,457,Sushi Restaurant,-33.90018276210156,18.405283014685427,4b688a10f964a520a67e2be3,Green Point,6,Restaurant
30,The Butcher Shop & Grill,594,Steakhouse,-33.90167945471926,18.400334491967726,53f8e123498ea90065a156b5,Green Point,58,Restaurant
31,"Sky Bar, Cape Royale",777,Cocktail Bar,-33.909185562008865,18.411927726072136,4b93afb6f964a520f54c34e3,Green Point,21,Restaurant
33,Hudsons on Somerset,818,Burger Joint,-33.90905242086595,18.412678374192065,4ce6b7760f196dcb1d5f39ae,Green Point,134,Restaurant
35,Lily's,466,Restaurant,-33.90009085628469,18.40543709594985,5934345962420b11b88938b6,Green Point,23,Restaurant
37,Shift Espresso Bar,763,Coffee Shop,-33.9087686348349,18.41218890327141,53aeb057498e7b9f40cde779,Green Point,34,Restaurant
38,Vida e Caffè,847,Coffee Shop,-33.90907535559835,18.413077327151708,4bf476342d62952104206058,Green Point,26,Restaurant
39,Pepeneros,461,Italian Restaurant,-33.90012661651019,18.405541411480304,4cbdd5374495721eadb6617a,Green Point,45,Restaurant
43,Mano's,879,Gastropub,-33.909412097053725,18.41318766918164,4b62dec0f964a52087562ae3,Green Point,25,Restaurant
44,Best Of Asia,511,Sushi Restaurant,-33.90779360842176,18.409500377132332,4f802e61e4b0bf6cc926c85f,Green Point,10,Restaurant
45,Brew,717,Coffee Shop,-33.90864760240377,18.411647197187428,51dfc3b4498e5c0fc354cdbb,Green Point,5,Restaurant
48,Buzbey Grill,893,Steakhouse,-33.908027,18.397432,4bf6bd984a67c9287f5422cf,Green Point,3,Restaurant
49,Caffe Neo,614,Café,-33.90176616761468,18.400029494142228,4b4c4936f964a52082b026e3,Green Point,34,Restaurant
51,Newport Deli,572,Sandwich Place,-33.90190553604957,18.400456244311137,4ba60cb1f964a520353039e3,Green Point,9,Restaurant
52,Richard's Bistro,930,Breakfast Spot,-33.90840567906738,18.397223216353655,4f5c79d7e4b0d8f7b6f847fe,Green Point,9,Restaurant
53,Marios,626,Restaurant,-33.908188187713975,18.41082427787595,4cd59c3276ab721e8f346e6a,Green Point,2,Restaurant
55,Cafe Extrablatt,666,Café,-33.908380691796275,18.41119741939031,4e8c82ba93adecfdb96c7047,Green Point,41,Restaurant
56,Xiang Yuan Chinese & Sushi.,965,Sushi Restaurant,-33.90861785595024,18.39693105351711,4d1f60025c4ca1cdc3d7983d,Green Point,6,Restaurant
57,Bootlegger Coffee Company,899,Coffee Shop,-33.909503961773105,18.413368811299573,59ef4d0f92e7a94da77d450f,Green Point,13,Restaurant
59,Aldiwan | الديوان (Aldiwan),992,Café,-33.90873921144157,18.39668371940371,4d3c6b0a3ec9a35d046a4881,Green Point,9,Restaurant
66,Cape to India,630,Indian Restaurant,-33.90161424397123,18.399935272134947,4db311290437fa536a0b4294,Green Point,0,Restaurant
0,Jonkershuis Restaurant,409,Restaurant,-34.03071406873821,18.41894095683067,4b76fcdbf964a520cb712ee3,Constantia,68,Restaurant
3,"Simon's, Groot Constantia",371,French Restaurant,-34.03120357482775,18.417613065669027,4c4b3e985609c9b6814edf90,Constantia,37,Restaurant
0,Saratoga Spur,292,Breakfast Spot,-33.90485846156931,18.588347575011024,4e09f6ceaeb74c399121300d,Parow,3,Restaurant
7,Harlequin Restaurant,795,Italian Restaurant,-33.904106861855865,18.59532859200735,4c2a54338ef52d7fbbb32fba,Parow,3,Restaurant
1,D's Speakeasy,957,Pub,-33.83209368358392,18.646245724366526,4f0d6c0de4b01660dc7720d1,Durbanville,17,Restaurant
2,Silver Creek Spur,866,Breakfast Spot,-33.83266883428387,18.6474581940829,4c45cc57f799e21eaab0afa2,Durbanville,9,Restaurant
3,Slug And Lettuce,869,Steakhouse,-33.83292198978405,18.646268665951144,5256f5a211d2857ca3662556,Durbanville,19,Restaurant
5,Mugg & Bean,752,Coffee Shop,-33.8336878,18.6476441,4c7e2c3fd461a143ae2d7ff5,Durbanville,6,Restaurant
8,Simply Asia Durbanville,939,Thai Restaurant,-33.83230550518704,18.646108200688076,4dde780688779c82bec4fbe6,Durbanville,7,Restaurant
9,RocoMamas,701,Burger Joint,-33.83405,18.64829,5762d3ec498ef7dda7bc5de5,Durbanville,4,Restaurant
10,Roman's Pizza,907,Pizza Place,-33.832498,18.646523,4b9e7349f964a520ece436e3,Durbanville,2,Restaurant
0,Lorenzo Marx,674,Coffee Shop,-34.09420320453125,18.490519583454553,4ffd3826e4b07c449d5a533f,Muizenberg,8,Restaurant
3,Upper Crust Pizzeria,728,Pizza Place,-34.09292170397636,18.479423104938363,4ca0d82203133704ca777ed5,Muizenberg,7,Restaurant
0,Fish Hoek Fisheries,691,Seafood Restaurant,-34.13626448054778,18.432016968727112,4c4f15abdb2c20a15b4d7875,Fish Hoek,9,Restaurant
2,Bhandaris,538,Indian Restaurant,-34.14038928605399,18.429946303367615,4d04555890762d43989ff18a,Fish Hoek,7,Restaurant
3,Beachcomber Bistro,735,Seafood Restaurant,-34.14079131124154,18.43210151537895,4d045c1f90762d439ca5f18a,Fish Hoek,5,Restaurant
4,The Galley Restaurant,736,Seafood Restaurant,-34.14096809004105,18.432001067416216,4cfbaf1f41eca090d392d650,Fish Hoek,15,Restaurant
6,Golden River Spur,625,Breakfast Spot,-34.13833865026225,18.43161100231141,4d276f13d86aa090140b1ec0,Fish Hoek,8,Restaurant
10,Steers,603,Burger Joint,-34.1382795,18.4313687,4c8206028ce59c74124277b0,Fish Hoek,5,Restaurant
11,The Victorian Times,530,Pub,-34.1405372241974,18.429747093640053,4c2dfef6e307d13a8db50eda,Fish Hoek,4,Restaurant
0,Mike's Kitchen,239,Steakhouse,-33.87908356722952,18.498939156201306,4cde713370bba1cd2a5160c4,Milnerton,15,Restaurant
4,Maestro's On The Beach,861,Italian Restaurant,-33.880785605897174,18.48721203182492,4b5197dff964a5204a5027e3,Milnerton,64,Restaurant
5,Ilha Restaurant and Bar,854,Bar,-33.88176657831188,18.487576962907262,4cfa508d7945224b273c7fe7,Milnerton,9,Restaurant
9,St Elmo's,227,Pizza Place,-33.87929069363612,18.498847220926315,4d8e2cc93bfef04da8249286,Milnerton,0,Restaurant
1,Caffé Verdi,522,Bar,-34.0068535637128,18.463146324434174,4c49ae9920ab1b8dcc081b17,Wynberg,13,Restaurant
2,Four and Twenty Cafe,504,Café,-34.00678605841462,18.463326452769397,5184d993498e26edec1cba6f,Wynberg,50,Restaurant
3,Erawan Thai Restaurant & Bar,522,Thai Restaurant,-34.00695946987995,18.46325879446437,4f1c38b3e4b0c74ef2a7e7cf,Wynberg,14,Restaurant
4,Borusso's,912,Pizza Place,-33.99552605470877,18.468744110769986,4b43b6daf964a52061e725e3,Wynberg,21,Restaurant
5,Bootlegger Coffee Company,856,Coffee Shop,-33.99604277171098,18.468850326813346,558bdf32498e9eae96599488,Wynberg,38,Restaurant
6,Bibi's Kitchen,711,Indian Restaurant,-34.00419682928632,18.4749309609382,4b929311f964a520bb0534e3,Wynberg,4,Restaurant
7,Jakes on Summerley,920,Gastropub,-33.99553438689696,18.469318973060627,4c1e0119fcf8c9b60d97ac0b,Wynberg,12,Restaurant
9,Penny Lane Coffee Shop,155,Coffee Shop,-34.00401188720162,18.46887390369375,4ef0c8b08b81e3067f97f720,Wynberg,2,Restaurant
15,Wild Bean Cafe,904,Café,-34.00207357,18.476877,4ded0025d164bd989b1ad5da,Wynberg,0,Restaurant
16,Eat Out The Box,973,Pizza Place,-34.01148928008831,18.462643069790534,4d52dfd8e0275481225fb9b6,Wynberg,1,Restaurant
2,Ocean Basket Glengarry Shopping Centre,738,Seafood Restaurant,-33.84909,18.67419,4e479d6daeb70e74f4a45ba3,Kuils River,0,Restaurant
5,Caffe Rossini,842,Café,-33.844047,18.677177,4d4e6705a0b0a093e0844d83,Kuils River,2,Restaurant
