,Name,Categories,Distance,Latitude,Longitude,Id,Neighborhood,Likes,Rating
141,One&Only Cape Town,Resort,747,-33.90866854189105,18.41646138178,4b700ea8f964a52041052de3,Atlantic Seaboard,174,No Rating Yet
142,Green Point Urban Park,Park,753,-33.90555738278987,18.40221851536896,4d9dc1d6c593a1cdef2b6719,Atlantic Seaboard,109,No Rating Yet
143,Cape Town Stadium,Stadium,686,-33.904078101012956,18.411027109916294,4c049d8d302295213dc9de81,Atlantic Seaboard,199,No Rating Yet
144,Virgin Active Health Club,Gym,645,-33.90633773128665,18.402970923638318,4b4c2b05f964a52025af26e3,Atlantic Seaboard,103,No Rating Yet
145,Vida e Caffè,Coffee Shop,431,-33.90907535559835,18.413077327151708,4bf476342d62952104206058,Atlantic Seaboard,26,No Rating Yet
146,Shift Espresso Bar,Coffee Shop,362,-33.9087686348349,18.41218890327141,53aeb057498e7b9f40cde779,Atlantic Seaboard,34,No Rating Yet
147,Buena Vista Social Cafe,Cuban Restaurant,494,-33.90861206671749,18.4136355555748,4c935eb71221b1f7504619e2,Atlantic Seaboard,21,No Rating Yet
148,Pigalle,Seafood Restaurant,844,-33.913161220900925,18.416743956402897,4bc0aaf8abf495217098bf93,Atlantic Seaboard,111,No Rating Yet
149,Sugar Hotel,Hotel,639,-33.91137198582969,18.41518771707617,4bac5f2ff964a52047f23ae3,Atlantic Seaboard,8,No Rating Yet
150,Grand Cafe and Beach,Café,578,-33.90553,18.411939999999998,4be254e22fc7d13a6d5e083a,Atlantic Seaboard,186,No Rating Yet
151,Mano's,Gastropub,435,-33.909412097053725,18.41318766918164,4b62dec0f964a52087562ae3,Atlantic Seaboard,25,No Rating Yet
152,Watershed,Market,943,-33.907116168436936,18.41816228150922,54429072498e71ae5f3585e7,Atlantic Seaboard,202,No Rating Yet
153,Ultra Liquors,Liquor Store,235,-33.90776717277886,18.408402247930677,4c93190b1221b1f79d5417e2,Atlantic Seaboard,14,No Rating Yet
154,CitySightseeing Cape Town,Tour Provider,881,-33.90741867987649,18.417575595352176,5030d9a5e4b0bde727182abc,Atlantic Seaboard,21,No Rating Yet
155,Cooked,Coffee Shop,947,-33.90712279784909,18.418205335202128,566da475498ed2e93de35c6c,Atlantic Seaboard,19,No Rating Yet
156,Two Oceans Aquarium,Aquarium,882,-33.90801318736242,18.417792260484756,4b921942f964a52022e733e3,Atlantic Seaboard,348,No Rating Yet
