,Name,Distance,Categories,Latitude,Longitude,Id,Neighborhood,Likes
16,Hudsons on Somerset,396,Burger Joint,-33.90905242086595,18.412678374192065,4ce6b7760f196dcb1d5f39ae,Atlantic Seaboard,134
17,never@home Design Hostel,241,Hostel,-33.90776853054979,18.409134536843197,547b5710498e141c4cecc8da,Atlantic Seaboard,11
18,One&Only Cape Town,747,Resort,-33.908668541891046,18.416461381779996,4b700ea8f964a52041052de3,Atlantic Seaboard,174
19,Green Point Urban Park,753,Park,-33.90555738278987,18.40221851536896,4d9dc1d6c593a1cdef2b6719,Atlantic Seaboard,109
20,Cape Town Stadium,686,Stadium,-33.90407810101296,18.411027109916294,4c049d8d302295213dc9de81,Atlantic Seaboard,199
21,Virgin Active Health Club,645,Gym,-33.906337731286655,18.402970923638314,4b4c2b05f964a52025af26e3,Atlantic Seaboard,103
22,Vida e Caffè,431,Coffee Shop,-33.90907535559835,18.413077327151708,4bf476342d62952104206058,Atlantic Seaboard,26
23,Shift Espresso Bar,362,Coffee Shop,-33.9087686348349,18.41218890327141,53aeb057498e7b9f40cde779,Atlantic Seaboard,34
24,Buena Vista Social Cafe,494,Cuban Restaurant,-33.90861206671749,18.4136355555748,4c935eb71221b1f7504619e2,Atlantic Seaboard,21
25,Pigalle,844,Seafood Restaurant,-33.913161220900925,18.4167439564029,4bc0aaf8abf495217098bf93,Atlantic Seaboard,111
26,Sugar Hotel,639,Hotel,-33.91137198582969,18.415187717076172,4bac5f2ff964a52047f23ae3,Atlantic Seaboard,8
27,Grand Cafe and Beach,578,Café,-33.90553,18.41194,4be254e22fc7d13a6d5e083a,Atlantic Seaboard,186
28,Mano's,435,Gastropub,-33.909412097053725,18.41318766918164,4b62dec0f964a52087562ae3,Atlantic Seaboard,25
29,Watershed,943,Market,-33.907116168436936,18.41816228150922,54429072498e71ae5f3585e7,Atlantic Seaboard,202
30,Ultra Liquors,235,Liquor Store,-33.90776717277886,18.408402247930674,4c93190b1221b1f79d5417e2,Atlantic Seaboard,14
31,CitySightseeing Cape Town,881,Tour Provider,-33.907418679876486,18.417575595352176,5030d9a5e4b0bde727182abc,Atlantic Seaboard,21
32,Cooked,947,Coffee Shop,-33.907122797849084,18.41820533520213,566da475498ed2e93de35c6c,Atlantic Seaboard,19
33,Two Oceans Aquarium,882,Aquarium,-33.90801318736242,18.417792260484752,4b921942f964a52022e733e3,Atlantic Seaboard,348
34,Blackheath Lodge,998,Bed & Breakfast,-33.910203631646795,18.39769676782069,4cd87a9551fc8cfaf9c0e95d,Atlantic Seaboard,12
35,Villa Zest,513,Hotel,-33.91065240884474,18.413980916920085,4cc30fdf82388cfa6d016535,Atlantic Seaboard,4
36,Casa Blanca Night Club,594,Nightclub,-33.90785128623892,18.414458531192704,4efa38e777c8e88f4a2fb5a8,Atlantic Seaboard,7
37,Ashanti Lodge - Greenpoint,731,Hostel,-33.90924118548042,18.400622335368308,4c70026eb5fe9521bf666311,Atlantic Seaboard,4
38,Spa - The One&Only Cape Town,707,Spa,-33.90939763565164,18.416138291358948,4ffaf456e4b0f1c61a21597c,Atlantic Seaboard,6
39,Village Café,971,Breakfast Spot,-33.9154162518468,18.416634829715253,4ba5d64af964a520fb2439e3,Atlantic Seaboard,20
40,Brew,321,Coffee Shop,-33.90864760240377,18.411647197187428,51dfc3b4498e5c0fc354cdbb,Atlantic Seaboard,5
41,Best Of Asia,249,Sushi Restaurant,-33.90779360842176,18.409500377132332,4f802e61e4b0bf6cc926c85f,Atlantic Seaboard,10
42,Jade,430,Nightclub,-33.909467050957275,18.413132165910124,4bca16c4511f95211e00afc7,Atlantic Seaboard,15
43,Vista Bar - The One&Only Cape Town,738,Hotel Bar,-33.908906174034726,18.416411431018616,4de12a1b8877aab7fe5c99c6,Atlantic Seaboard,10
44,V&A Marina Apartments,820,Hotel,-33.91035763360389,18.417367120731797,4cc196d8668db60c18a814b4,Atlantic Seaboard,24
45,Sunflower Stop Hostel Cape Town,467,Hostel,-33.907974514213336,18.403996295373343,4be197068dd062b5d4653e3c,Atlantic Seaboard,5
46,Beefcakes,968,Gay Bar,-33.91411071753637,18.417665632044674,4b504a72f964a520e31f27e3,Atlantic Seaboard,50
47,Noon Gun,664,Scenic Lookout,-33.915270039792034,18.41158924505828,4bd2bdbaa8b3a5938173685f,Atlantic Seaboard,6
48,The Foundry,976,Shopping Mall,-33.91222960021183,18.41868276606886,4c7ca6f283a7bfb7b65696f8,Atlantic Seaboard,23
